Node,Rank,PageRank,num_followers,verified_followers,following,total_tweets,total_retweets,total_commenters,total_reposters
BlockBonnieC,281,2.411450180253869e-05,14700,19,18,5,3,80,73
NFTMillionaire,282,2.408379991663235e-05,150500,20,19,5,2,14,53
_blockchainJP,283,2.4078642978743144e-05,887,20,18,0,5,0,78
BillLaboon,284,2.407717857989193e-05,23700,20,19,5,5,29,81
BitcoinKarin,285,2.4056155058515816e-05,1618,19,20,5,2,0,24
jennifer_sutto,287,2.404554797718683e-05,33700,20,20,2,5,36,34
catalystdrmrs,288,2.40332014356862e-05,3084,9,19,5,5,31,124
6e6a6DeFi,289,2.3993646680828704e-05,3534,20,20,5,4,12,66
blockchain_brah,290,2.3990642345948105e-05,3804,20,20,5,5,16,56
CryptoDanvans,291,2.3975217217892687e-05,38800,20,19,5,5,77,38
megan_crypto,292,2.3957225897615864e-05,9167,20,19,4,4,67,27
SonaliGio,293,2.3955527944098297e-05,1642,19,19,5,5,10,76
thecardanohotel,294,2.3941180280076783e-05,1871,19,13,5,5,1,37
CryptoEmdarks,295,2.392491888420324e-05,134700,20,17,4,5,98,130
beyond__tech,296,2.3914259937416445e-05,65700,16,20,5,5,148,122
Bitcoinhabebe,297,2.391158817657668e-05,170000,20,19,5,1,121,11
bitcoin_hotel,298,2.389372877190908e-05,14500,20,18,5,2,61,3
Bitcoin_21_m,299,2.3886979730174333e-05,1087,19,19,1,5,2,135
bitcoinKeeper_,300,2.388267163110987e-05,4848,20,19,5,5,21,5
blockchaincap,301,2.384498556277996e-05,68000,20,19,5,5,4,116
RawGalleryNFT,302,2.3836510781600427e-05,12200,20,19,2,5,33,59
DocMontyForUS,303,2.3827665852597367e-05,686,19,19,5,5,0,34
livesent,304,2.379761855337194e-05,1813,20,19,5,5,0,44
kbbyhoon,305,2.375327883839873e-05,52600,20,18,5,5,1,179
MuchoBitcoin,306,2.374170019144887e-05,43700,19,18,0,5,0,123
masa_ts_english,307,2.3727940037666227e-05,1198,16,17,5,5,1,56
WillyWonkaXRP,308,2.3724708865820177e-05,53800,20,17,4,5,21,5
NFTStudios_io,309,2.367464359431111e-05,5569,19,19,5,5,0,4
DeFiWizards,310,2.364000930627266e-05,7885,20,19,5,4,14,24
ButtonDeFi,311,2.360290719039466e-05,26300,20,19,5,5,2,6
SpireBlockchain,313,2.3586834050169503e-05,237,20,18,1,5,0,67
Tiz_Steve,314,2.3570457464803665e-05,646,19,19,5,4,0,50
CandyToyBoxYT1,315,2.3564739788332312e-05,552,19,19,2,5,2,52
Josh_ideal1,316,2.355403706574404e-05,1727,19,13,5,5,38,118
taskonxyz,317,2.3526904136455992e-05,922500,19,16,5,5,16,53
HybridDeFiDiver,318,2.350221781006388e-05,439,19,15,5,5,12,25
citadelwallet,319,2.348518790257768e-05,7989,20,18,5,5,66,28
nft_paris,321,2.3450073970034343e-05,62600,20,18,5,2,78,35
cryptocomnft,322,2.3427107007354896e-05,499000,20,19,5,5,26,77
CoachCryptoNL,323,2.3399701559688345e-05,940,20,20,1,5,0,122
cryptocom,325,2.336758436819492e-05,2800000,10,18,5,2,87,60
bwblockchain,326,2.335589566527864e-05,2617,19,18,5,0,0,0
BitcoinWhales_,327,2.3325342071865623e-05,125000,20,20,5,5,41,85
oopa_nft,328,2.3311407128777235e-05,19000,20,17,4,4,6,13
TheDeFiPlug,329,2.3302895187650395e-05,52600,20,18,5,5,33,91
CarbonDeFixyz,331,2.327661625031592e-05,14800,20,19,3,5,10,9
CryptoEcon_Li,333,2.323919286009137e-05,2448,20,19,5,5,1,131
edsonweb3,335,2.3221969639765443e-05,3575,20,17,5,2,0,32
King_69NFT,336,2.321624965398064e-05,42700,20,10,3,5,62,91
AtomicFinance,337,2.3212338514497216e-05,8478,20,19,4,5,2,4
0xPolygonDeFi,339,2.318475447366837e-05,292600,20,19,5,0,64,0
TheDogOfBitcoin,340,2.318411378583993e-05,14900,19,18,5,5,29,117
JMctalk,341,2.3091078502518925e-05,1584,20,19,3,5,1,140
mabel_nft,343,2.304800827664545e-05,57300,19,19,4,5,90,100
BlockchainTalkz,344,2.300841125216852e-05,1414,20,18,4,5,0,1
moeblockchain,346,2.298784948087788e-05,11900,20,19,5,5,26,19
MoodyOwlNFT,347,2.2985518835955472e-05,157100,20,20,5,2,70,50
PrePopAi,348,2.296493216843481e-05,1166,20,21,5,5,0,105
CryptoGirlNova,349,2.2956108750894373e-05,132500,20,18,5,1,84,28
TheBitcoinConf,350,2.292950600443673e-05,229600,20,19,5,5,37,39
socllyhq,353,2.290546658348936e-05,3736,19,19,5,5,7,1
Mr_MO_LA,354,2.289507677381296e-05,1721,20,19,5,5,3,55
CryptoHarry_,355,2.286821690686371e-05,71200,20,20,5,5,14,86
TonyCai_,356,2.286240355489508e-05,3075,19,19,4,5,16,66
OpCryptoUK,357,2.286142321527201e-05,34200,20,18,5,4,12,91
LABlockchainSmt,358,2.284123137367004e-05,20700,20,18,1,5,4,0
AL_theDeFiMaxi,359,2.2840791503582187e-05,65800,20,18,5,5,119,154
Macky_DeFi,361,2.2791847436570813e-05,48900,20,19,5,4,78,90
BitcoinFan7,362,2.277943067896228e-05,1843,19,19,1,5,0,122
VanessaDefi,363,2.277874496187544e-05,92200,20,20,4,2,39,41
herveblockchain,365,2.2747434456224205e-05,369,18,18,1,5,0,149
TagadoBTC,366,2.2740448414924484e-05,173200,20,19,5,0,75,0
Bitcoin_Sage,368,2.272850221057985e-05,13800,20,19,5,2,17,30
NickSzabo4,369,2.2712956157924764e-05,352900,16,19,5,5,149,112
uquidcard,371,2.2683540905902205e-05,145500,20,18,5,2,119,6
CCCLWeb3,372,2.2677266321018163e-05,1548,18,19,4,5,16,57
karincatraders,373,2.266202861663974e-05,33700,16,19,5,0,27,0
Jared_Borders,374,2.264051791921102e-05,1097,20,19,5,5,1,94
defi_beats,375,2.26204251389089e-05,1448,20,19,5,5,3,60
weepeli,376,2.260774300925409e-05,2733,20,18,2,5,9,14
mralanij,377,2.259263727576355e-05,1050,19,18,5,1,8,1
crypto_futur,380,2.2570969128275947e-05,249600,20,18,5,0,101,0
blockchainox,381,2.253850802672721e-05,2226,20,19,5,5,5,28
DeFiSpartan,382,2.2517789402849384e-05,1975,19,20,5,5,1,45
MuroCrypto,383,2.2515678182649585e-05,374100,20,21,5,1,109,2
Francium_Defi,384,2.250655737310424e-05,23900,20,18,5,5,56,105
Pranweb3,385,2.2500388358659103e-05,2748,20,20,3,5,2,42
WEB3_JOBot,387,2.245736264518599e-05,2624,20,17,5,0,11,0
rizacankybsi,388,2.2442813050762485e-05,1496,19,18,2,5,1,53
GoatzNFT_,389,2.243387356084561e-05,3955,18,4,3,5,28,6
o2DeFi,390,2.2416853869426137e-05,250,18,20,5,5,1,163
SportsDeFi1,392,2.238775036150269e-05,2380,20,12,4,5,1,134
ThePaulOla,393,2.235841263789836e-05,96900,20,19,5,4,73,42
waxschool_,395,2.229363088797411e-05,2709,19,18,5,3,8,15
TokenPhysicist,396,2.2288719946317007e-05,984,19,20,5,3,3,12
livefreeordefi,397,2.228401868544785e-05,1339,20,21,3,5,4,50
doktor_DeFi,398,2.2280308285819707e-05,2261,19,19,5,4,1,29
0xDeFiDevin,399,2.227774937541578e-05,3339,20,19,5,5,19,74
ton_blockchain,400,2.2261797749525207e-05,2500000,19,15,5,5,142,93
TheDeFiDan,402,2.222556387293734e-05,1242,20,19,5,5,1,123
NFTCryptoChicks,405,2.220982024823117e-05,48800,20,18,5,5,18,0
ada_stat,406,2.2205592553074447e-05,1791,19,18,3,5,1,69
nfthorizon_io,407,2.2201761787746423e-05,28200,11,17,5,0,0,0
NatCatNFT,408,2.219380194772629e-05,9676,20,20,5,5,51,74
